date-dedicated,date-desire,date-order,date-removal,city,state,statue-name,statue-specifier,category,was-torn-down,geocode,Latitude,Longitude,Notes
1926,June 2020,N/A,N/A,Beaufort,North Carolina,Confederate statue,Confederate statue outside Carteret County courthouse,requested,,"Beaufort, North Carolina",34.7182174,-76.6638186,
1990,June 2020,N/A,N/A,Palm Springs,California,Statue of Frank Bogert,Bogert statue at City Hall,requested,,"Palm Springs, California",33.8302961,-116.5452921,
1909,"2017, June 2020",N/A,N/A,Paducah,Kentucky,Statue of Lloyd Tilghman,Confederate general statue,requested,,"Paducah, Kentucky",37.0833893,-88.6000478,
1904,June 2020,N/A,N/A,Reston,Virginia,Confederate monument,Granite monument to Confederate Capt. John Quincy Marr,requested,,"Reston, Virginia",38.9586307,-77.3570028,
1896,June 2020,06/23/2020,06/24/2020,Charleston,South Carolina,Statue of John C. Calhoun,Calhoun statue on Marion Square,removed,,"Charleston, South Carolina",32.7764749,-79.9310512,
"1875, 1937",June 2020,06/01/2020,06/01/2020,Sequoia and Kings Canyon Parks,California,Signage honoring Robert E. Lee at two sequoia trees,Robert E. Lee tree in Kings Canyon’s Grant Grove and the General Lee tree in Sequoia,removed,,"Sequoia and Kings Canyon Parks, California",36.8878548,-118.5551477,
"1925, 1990s",June 2020,N/A,06/23/2020,Madison,Wisconsin,Forward statue and statue of Hans Christian Heg,"Two statues, one of abolitionist, one embodying state motto",removed,1,"Madison, Wisconsin",43.0730517,-89.4012302,
1990s,"2016, June 2020",06/01/2020,06/13/2020,Middletown,Connecticut,Christopher Columbus statue,Columbus statue in Harbor Park,removed,,"Middletown, Connecticut",41.5623209,-72.6506488,
1907,June 2020,N/A,N/A,Atlanta,Georgia,Statue of John B. Gordon,Former Governor in Confederate attire,requested,,"Atlanta, Georgia",33.7489954,-84.3879824,
"1919 (Pioneer), 1932 (Pioneer Mother)","2018, June 2020",N/A,06/14/2020,Eugene,Oregon,The Pioneer and the Pioneer Mother statues,Two pioneer statues on University of Oregon campus,removed,1,"Eugene, Oregon",44.0520691,-123.0867536,
1853,June 2020,N/A,N/A,"Washington, DC","Washington, DC",Statue of Andrew Jackson,Jackson in Lafayette Square,requested,,"Washington, DC, Washington, DC",38.9071923,-77.0368707,
1895,June 2020,N/A,N/A,Covington,Tennessee,Confederate statue,Confederate statue in downtown Covington,requested,,"Covington, Tennessee",35.5648087,-89.6489786,
"1914 (built), 1962 (moved to current loc)","2017, June 2020",N/A,N/A,Alexandria,Louisiana,Confederate monument,Monument in front of Rapides Parish Courthouse,requested,,"Alexandria, Louisiana",31.3112936,-92.4451371,
1958,June 2020,N/A,N/A,Pittsburgh,Pennsylvania,Christopher Columbus statue,Columbus statue in Schenley Park,requested,,"Pittsburgh, Pennsylvania",40.4406248,-79.9958864,
1992,June 2020,06/22/2020,(Likely September),Norwich,Connecticut,Carving of Christopher Columbus,Columbus references in Italian Heritage Monument,planned,,"Norwich, Connecticut",41.5242649,-72.0759105,
1909,June 2020,N/A,06/25/2020,Denver,Colorado,Civil War statue,Civil War statue at State Capitol,removed,1,"Denver, Colorado",39.7392358,-104.990251,
"1931 (built), 1990s (moved to current loc.)",June 2020,N/A,N/A,Cape Girardeau,Missouri,Confederate monument,Confederate monument Iver's Square,requested,,"Cape Girardeau, Missouri",37.3058839,-89.5181476,
2014,June 2020,N/A,N/A,Charleston,South Carolina,Statue of Denmark Vesey,Vesey statue in Hampton Park,requested,,"Charleston, South Carolina",32.7764749,-79.9310512,
Unknown,June 2020,N/A,N/A,Camden,New Jersey,Statue of Walt Whitman,Whitman statue on Rutgers-Camden campus,requested,,"Camden, New Jersey",39.9259463,-75.1196199,
2001,June 2020,N/A,N/A,Columbia,Missouri,Statue of Thomas Jefferson,Jefferson statue on University of Missouri campus,requested,,"Columbia, Missouri",38.9517053,-92.3340724,
1894,"2017, 2020",June 28 2020,TBD,Jackson,Mississippi,State flag design,Design of State flag including confederate symbol,planned,,"Jackson, Mississippi",32.2987573,-90.1848103,
"1940 (built), 1983 (moved to current loc)",June 2020,June 25 2020 (announced),June 25 2020,Norwalk,Connecticut,Christopher Columbus statue,Columbus statue on West Ave,removed,,"Norwalk, Connecticut",41.117744,-73.4081575,
1919,June 2020,N/A,N/A,Madison,Wisconsin,Statue of Abraham Lincoln,Lincoln statue on UW-Madison campus,requested,,"Madison, Wisconsin",43.0730517,-89.4012302,
1925,June 2020,N/A,N/A,Reading,Pennsylvania,Christopher Columbus statue,Columbus state in City Park,requested,,"Reading, Pennsylvania",40.3356483,-75.9268747,
1933,June 2020,N/A,N/A,Syracuse,New York,Christopher Columbus statue,Columbus statue downtown,requested,,"Syracuse, New York",43.0481221,-76.1474244,
1909,June 2020,N/A,N/A,Charlottesville,Virginia,Johnny Reb (Confederate statue),Reb statue at Albemarle County Courthouse,requested,,"Charlottesville, Virginia",38.0293059,-78.4766781,
1893,June 2020,June 2020,June 25 2020,Providence,Rhode Island,Christopher Columbus statue,Columbus statue in Elmwood,removed,,"Providence, Rhode Island",41.8239891,-71.4128343,
"1792, 1892, 1984","2017, June 2020",N/A,N/A,Baltimore,Maryland,Monuments to Christopher Columbus,"Obelisk in Herring Run Park, Statue at Druid Hill Park, Statue in Little Italy",requested,,"Baltimore, Maryland",39.2903848,-76.6121893,
1927,June 2020,June 26 2020 (announced),June 26 2020,Newark,New Jersey,Christopher Columbus statue,Columbus statue in Washington Park,removed,,"Newark, New Jersey",40.735657,-74.1723667,
1975,June 2020,N/A,June 25 2020,Denver,Colorado,Christopher Columbus statue,Columbus statue at Civic Center Park,removed,1,"Denver, Colorado",39.7392358,-104.990251,
1911,June 2020,June 2020,June 26 2020,Denver,Colorado,Statue of Kit Carson,Kit Carson at Pioneer Monument,removed,,"Denver, Colorado",39.7392358,-104.990251,
1905,June 2020,N/A,N/A,Pueblo,Colorado,Christopher Columbus statue,Columbus statue on Abriendo Ave,requested,,"Pueblo, Colorado",38.2544472,-104.6091409,
1960s,June 2020,N/A,N/A,Port Allen,Louisiana,Statue of Henry Watkins Allen,Statue of Confederate LA governor,requested,,"Port Allen, Louisiana",30.4474878,-91.2073261,
1998,June 2020,N/A,N/A,Allendale Township,Michigan,Statue of Confederate and Union Soldiers and Slave,Statue in Veterans Garden of Honor,requested,,"Allendale Township, Michigan",42.9721861,-85.9540218,
1916,"2017, June 2020",N/A,N/A,Clinton,North Carolina,Confederate statue,Confederate statue Samspon County Courthouse,requested,,"Clinton, North Carolina",34.9979453,-78.3233325,
